Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
430	7.58	-71.64	46.13	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
431	8.66	-50.47	9.85	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	Precuneus_L
432	1.9	-69.52	35.03	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
433	4.97	-75.65	37.06	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
434	2.29	-63.82	43.61	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
435	4.52	-48.96	48.34	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
436	7.65	-65.08	54.2	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	Precuneus_L
437	7.68	-50.29	65.82	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	Precuneus_L
438	5.1	-52.15	36.45	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_L
439	-7.15	-51.97	52.37	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
440	-9.27	-60.32	59.58	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
441	-9.82	-52.43	60.85	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
442	-11.6	-69.29	31.13	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 7	Precuneus_R
443	-14.83	-60.82	20.21	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 31	Precuneus_R
444	-8.94	-65.76	51.99	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
445	-10.19	-61.82	35.08	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
446	-10.71	-55.61	23.63	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 31	Precuneus_R
447	-8.89	-72.2	40.4	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
448	-8.25	-55.84	39.81	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
449	-10.24	-48.3	40.9	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
450	-11.42	-72.5	46.53	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Precuneus_R
451	-13.72	-47.45	9.58	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	Precuneus_R
452	21.16	1.87	12.05	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_L
453	23.37	0.37	0.67	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_L
454	16.61	10.37	2.79	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_L
455	24.64	-12.18	7.1	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_L
456	-16.01	-55.72	9.29	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	Calcarine_R
457	-17.67	-91.56	-5.37	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 17	Calcarine_R
458	-11.71	-81.89	5.58	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	Calcarine_R
459	-13.77	-70.0	7.71	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	Calcarine_R
460	-16.38	-76.14	0.32	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	Calcarine_R
461	-19.32	-61.33	6.98	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	Calcarine_R
462	-29.86	-11.14	3.72	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_R
463	-29.46	0.59	8.63	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_R
464	-22.24	12.07	1.26	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_R
465	-24.67	3.12	6.22	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	Putamen_R
466	3.37	45.58	-7.5	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Rectus_L
467	3.76	36.96	-11.76	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 11	Rectus_L
468	5.53	20.46	-10.99	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Rectus_L
469	-9.64	22.78	-12.76	Left Cerebrum	Frontal Lobe	Subcallosal Gyrus	Gray Matter	Brodmann area 25	Rectus_R
470	-7.54	29.47	-9.49	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 11	Rectus_R
471	-6.86	47.32	-8.24	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Rectus_R
472	40.92	-16.27	14.69	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_L
473	43.57	-18.0	16.36	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_L
474	43.77	-2.52	16.61	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_L
475	42.63	-3.31	11.94	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_L
476	-50.47	-13.48	17.17	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	Rolandic_Oper_R
477	-54.44	-15.47	14.39	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	Rolandic_Oper_R
478	-47.26	-8.92	13.09	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_R
479	-46.45	-7.49	17.04	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Rolandic_Oper_R
480	-48.76	1.95	8.53	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 44	Rolandic_Oper_R
481	3.71	-8.07	49.51	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
482	0.77	4.59	54.52	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
483	4.68	3.92	64.77	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
484	3.54	12.29	61.38	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
485	2.67	9.93	48.37	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
486	5.51	-14.77	67.22	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
487	3.32	-20.87	52.89	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
488	1.7	-9.25	59.97	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
489	5.88	-5.66	66.59	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_L
490	-8.96	-21.27	66.25	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
491	-8.93	7.01	49.83	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
492	-13.53	5.88	62.97	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
493	-8.76	3.92	62.16	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
494	-7.27	1.82	57.74	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
495	-7.43	-17.53	57.39	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
496	-9.05	-8.56	50.25	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
497	-10.6	-8.92	66.62	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
498	-9.73	-26.48	50.99	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 6	Supp_Motor_Area_R
499	48.6	-47.75	28.46	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_L
500	52.7	-28.4	22.53	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_L
501	50.21	-44.47	23.89	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_L
502	50.03	-28.89	33.25	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_L
503	50.95	-36.59	31.16	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_L
504	-56.5	-40.01	23.76	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_R
505	-58.41	-26.3	21.44	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	SupraMarginal_R
506	-58.08	-22.83	27.21	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_R
507	-51.87	-31.0	35.44	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_R
508	-53.94	-45.92	27.27	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	SupraMarginal_R
509	-53.46	-42.43	35.8	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	SupraMarginal_R
510	-55.32	-34.25	27.44	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_R
511	-49.47	-35.61	39.05	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	SupraMarginal_R
512	41.35	1.72	-29.38	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_L
513	49.23	-56.62	-9.56	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Temporal_Inf_L
514	51.43	-46.87	-12.78	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_L
515	52.72	-38.66	-15.01	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Inf_L
516	35.13	-5.71	-29.48	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 20	Temporal_Inf_L
517	39.02	-24.22	-18.83	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	Temporal_Inf_L
518	42.88	-13.63	-23.54	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_L
519	49.32	-8.99	-22.99	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_L
520	52.02	-32.53	-18.52	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_L
521	46.22	-50.54	-17.14	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Temporal_Inf_L
522	38.66	5.95	-27.58	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Inf_L
523	41.1	-36.01	-18.27	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_L
524	51.09	-20.95	-18.83	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_L
525	11.56	13.33	14.95	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_L
526	5.92	12.05	1.45	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	Caudate_L
527	12.64	-7.7	21.99	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_L
528	9.3	6.93	11.88	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_L
529	-55.82	-17.62	-21.68	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
530	-45.94	-14.76	-24.4	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
531	-48.9	-0.87	-29.77	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_R
532	-47.99	-59.89	-14.43	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Occipital_Inf_R
533	-35.44	6.44	-33.44	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_R
534	-59.5	-26.28	-18.24	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
535	-46.86	5.96	-32.87	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_R
536	-51.69	-54.78	-9.22	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Inf_R
537	-48.55	-40.08	-22.13	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 36	Temporal_Inf_R
538	-56.94	-40.15	-13.46	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
539	-51.86	-46.28	-15.99	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Temporal_Inf_R
540	-54.42	-6.91	-25.69	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
541	-53.23	-34.09	-20.59	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Temporal_Inf_R
542	-40.01	-2.49	-32.83	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Inf_R
543	55.41	-26.29	-6.51	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_L
544	55.19	-41.25	0.5	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_L
545	42.31	-57.07	15.78	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_L
546	49.75	-5.73	-9.46	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Mid_L
547	48.25	-2.53	-19.18	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_L
548	53.79	-17.95	-6.62	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_L
549	52.05	-44.0	6.87	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_L
550	52.08	-45.0	-5.57	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 37	Temporal_Mid_L
551	43.35	-63.66	3.01	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_L
552	54.1	-17.44	0.17	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_L
553	56.41	-30.14	4.78	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_L
554	48.21	-51.09	14.29	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_L
555	56.08	-33.42	-1.05	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	Temporal_Mid_L
556	44.92	-58.32	9.58	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_L
557	49.13	-55.6	-1.01	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_L
558	55.2	-35.75	-9.11	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 20	Temporal_Mid_L
559	54.04	-15.23	-13.34	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_L
560	39.78	-65.68	14.05	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_L
561	47.03	1.79	-16.76	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Mid_L
562	47.82	-53.55	5.59	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_L
563	-58.98	-33.69	-2.97	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	Temporal_Mid_R
564	-56.08	-38.36	3.55	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_R
565	-53.99	1.2	-15.76	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
566	-48.77	-59.56	14.28	Left Cerebrum	Occipital Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 19	Temporal_Mid_R
567	-52.15	-49.98	11.37	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_R
568	-60.35	-23.34	-6.45	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
569	-45.48	-66.44	12.14	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_R
570	-53.44	-52.25	-0.28	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_R
571	-58.43	-13.21	-9.65	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
572	-53.23	-45.53	3.94	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Mid_R
573	-57.5	-37.09	-8.52	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
574	-59.02	-13.16	-15.55	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
575	-51.13	-57.24	6.92	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Temporal_Mid_R
576	-49.32	-59.86	-0.93	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_R
577	-55.81	-44.38	-4.62	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_R
578	-59.09	-26.56	-9.4	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
579	-53.33	-2.54	-19.54	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Mid_R
580	-45.15	-66.97	1.68	Left Cerebrum	Occipital Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	Temporal_Mid_R
581	43.87	12.49	-22.01	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_L
582	33.88	17.06	-25.9	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_L
583	22.89	11.2	-29.19	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_L
584	-48.68	13.08	-23.33	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_R
585	-42.61	14.95	-28.7	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_R
586	-27.19	13.22	-30.01	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_R
587	-54.34	9.42	-15.55	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_R
588	-35.87	17.85	-27.95	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Mid_R
589	30.54	17.43	-18.54	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_L
590	46.95	6.53	-5.72	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 22	Temporal_Pole_Sup_L
591	43.33	11.44	-7.57	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_L
592	22.53	11.29	-20.49	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_L
593	38.85	18.08	-13.88	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_L
594	-41.45	18.0	-16.15	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_R
595	-31.44	14.77	-20.4	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Temporal_Pole_Sup_R
596	-52.16	11.38	-10.83	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	Temporal_Pole_Sup_R
597	-50.0	12.43	-6.01	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Pole_Sup_R
598	-55.33	4.38	-1.46	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	*	Temporal_Pole_Sup_R
599	47.03	-23.8	11.87	Right Cerebrum	Temporal Lobe	Transverse Temporal Gyrus	Gray Matter	Brodmann area 41	Temporal_Sup_L
600	48.34	-4.78	0.76	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_L
601	50.59	-28.45	9.79	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	Temporal_Sup_L
602	48.49	-44.74	15.52	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 13	Temporal_Sup_L
603	48.01	-19.35	6.13	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 13	Temporal_Sup_L
604	49.7	-37.9	18.68	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Temporal_Sup_L
605	45.39	-2.45	-4.45	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_L
606	47.31	-12.11	3.18	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_L
607	50.45	-34.74	13.35	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	Temporal_Sup_L
608	-55.54	-7.46	3.83	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
609	-52.44	-46.93	15.27	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
610	-56.63	-35.9	11.9	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
611	-56.59	-32.7	7.19	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
612	-54.06	-27.91	12.03	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	Temporal_Sup_R
613	-54.63	-4.85	-1.8	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
614	-55.29	-38.32	16.92	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	Temporal_Sup_R
615	-54.69	-20.92	9.6	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	Temporal_Sup_R
616	-53.33	-17.88	3.65	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
617	-55.49	-15.9	-1.45	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 21	Temporal_Sup_R
618	-53.26	-5.64	-6.65	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
619	-54.34	-25.39	2.01	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	Temporal_Sup_R
620	13.07	-26.43	9.64	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	Thalamus_L
621	5.56	-23.44	6.17	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	Thalamus_L
622	12.45	-17.1	9.91	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	Thalamus_L
623	5.61	-12.54	8.23	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	Thalamus_L
624	-16.63	-6.44	21.27	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_R
625	-16.77	9.33	16.13	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_R
626	-14.99	17.56	5.09	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	Caudate_R
