Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
92	21.9	8.05	54.82	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_L
93	31.31	0.54	51.09	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_L
94	40.02	10.9	39.45	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_L
95	32.39	26.78	38.39	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_L
96	35.16	17.12	42.82	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_L
97	37.65	27.41	31.17	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Tri_L
98	35.82	44.06	12.92	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_L
99	22.23	20.7	49.81	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_L
100	24.37	-3.59	55.77	Right Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	Brodmann area 6	Frontal_Mid_L
101	20.99	39.81	34.19	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_L
102	25.67	32.21	39.03	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_L
103	27.05	49.38	16.76	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_L
104	35.65	36.11	25.87	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_L
105	27.83	9.71	51.74	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_L
106	22.5	49.54	-1.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_Orb_L
107	36.91	45.31	4.42	Right Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	*	Frontal_Mid_Orb_L
108	21.87	35.6	-7.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Mid_Orb_L
109	30.18	49.35	0.04	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_Orb_L
110	-23.37	52.7	-3.33	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_Orb_R
111	-38.2	46.12	-2.61	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_Orb_R
112	-26.3	40.41	-7.55	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 11	Frontal_Mid_Orb_R
113	-36.59	50.37	2.99	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_Orb_R
114	-36.37	13.72	46.81	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_R
115	-27.23	46.84	27.12	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_R
116	-35.91	29.23	38.4	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_R
117	-29.17	20.66	45.33	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_R
118	-42.01	1.57	46.09	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Precentral_R
119	-42.45	39.6	17.77	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	Frontal_Mid_R
120	-36.15	45.59	20.14	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_R
121	-39.68	33.75	29.38	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_R
122	-32.63	50.01	11.35	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_R
123	-26.69	38.91	34.2	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_R
124	-41.79	31.67	24.14	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	Frontal_Mid_R
125	-30.66	7.18	53.45	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_R
126	-37.68	-5.6	49.1	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_R
127	-42.26	42.98	11.31	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Mid_R
128	-34.17	40.92	30.06	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_R
129	-36.82	1.9	51.31	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_R
130	-37.68	-8.04	55.36	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Frontal_Mid_R
