Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
514	-51.31	-56.1	-11.21	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	0	
515	-53.35	-46.33	-14.51	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	0	
516	-54.52	-38.1	-16.77	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	1	
517	-36.33	-5.34	-30.66	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
518	-40.62	-23.8	-20.14	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	2	
519	-44.28	-13.17	-24.97	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	0	
520	-50.7	-8.47	-24.63	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	1	
521	-53.69	-31.98	-20.25	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	1	
522	-48.07	-50.05	-18.69	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	1	
523	-39.81	6.36	-28.87	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
524	-42.81	-35.58	-19.65	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 36	0	
525	-52.67	-20.41	-20.54	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	3	
526	-13.76	13.46	14.53	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
527	-7.78	12.12	1.22	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
528	-15.18	-7.56	21.53	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	1	
529	-11.47	7.04	11.54	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
530	54.3	-18.19	-19.87	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
531	44.52	-15.22	-22.92	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 20	0	
532	47.72	-1.37	-28.18	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	1	
533	45.96	-60.37	-12.89	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	2	
534	34.41	6.08	-32.29	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	1	
535	57.82	-26.89	-16.31	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	0	
536	45.81	5.48	-31.35	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
537	49.57	-55.3	-7.56	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	2	
538	46.87	-40.57	-20.56	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 36	1	
539	55.03	-40.73	-11.62	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 20	0	
540	49.97	-46.8	-14.32	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	0	
541	53.08	-7.47	-23.92	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	1	
542	51.56	-34.63	-18.87	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	1	
543	38.9	-2.9	-31.53	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
544	-57.34	-25.71	-8.36	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	0	
545	-57.41	-40.67	-1.35	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
546	-45.05	-56.61	14.35	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
547	-51.45	-5.21	-11.12	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 21	1	
548	-49.67	-2.02	-20.79	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
549	-55.65	-17.38	-8.42	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
550	-54.46	-43.44	5.12	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	0	
551	-54.18	-44.45	-7.32	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 20	4	
