Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
236	33.46	20.28	6.94	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
237	30.17	15.01	-6.39	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
238	36.33	10.32	6.12	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
239	36.81	4.55	6.25	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
240	38.65	-7.0	1.05	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	2	
241	35.8	-6.46	13.66	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
242	32.3	-20.21	14.61	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
243	-7.73	-74.49	-6.42	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	2	
244	-15.7	-82.43	-17.28	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
245	-19.58	-65.19	-4.76	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	1	
246	-19.87	-84.62	-16.14	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	1	
247	-6.9	-65.52	-0.29	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	1	
248	-13.0	-47.84	-2.8	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
249	-17.58	-60.53	-10.07	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
250	-19.77	-42.57	-4.69	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	1	
251	15.16	-47.74	-0.34	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	0	
252	8.43	-64.42	0.11	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	0	
253	13.84	-73.13	-11.11	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
254	19.5	-77.83	-10.9	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	0	
255	21.4	-88.76	-16.08	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 18	0	
256	8.92	-63.54	-7.5	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
257	8.47	-45.46	-0.96	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
258	17.93	-45.83	-6.1	Right Cerebrum	Limbic Lobe	Sub-Gyral	Gray Matter	Brodmann area 19	0	
259	12.49	-77.14	-5.77	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	0	
260	-44.25	-63.05	-14.34	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	0	
261	-22.44	-87.75	-12.33	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 18	0	
262	-40.62	-69.82	-8.53	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	3	
263	-33.94	-76.9	-11.6	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	2	
264	39.94	-68.33	-12.74	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	0	
265	25.66	-89.66	-9.23	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 18	1	
266	31.17	-82.29	-13.02	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	0	
267	37.02	-77.0	-7.79	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	1	
268	-23.55	-90.15	2.64	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	4	
269	-25.4	-85.91	10.07	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	2	
270	-32.56	-83.08	1.92	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	0	
271	-37.16	-78.66	5.54	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	1	
272	-41.24	-70.49	-2.11	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	2	
273	-40.76	-71.49	10.4	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	1	
274	-16.8	-95.71	-2.06	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	0	
275	-21.11	-88.99	-6.57	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	3	
276	-26.86	-77.26	24.85	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	3	
277	-36.11	-72.27	22.5	Left Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	4	
278	-31.44	-72.92	28.28	Left Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	3	
279	-33.51	-79.65	14.89	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	4	
280	-31.83	-81.56	-5.07	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 18	1	
281	34.21	-79.03	15.07	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	3	
282	26.61	-87.83	5.72	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	1	
283	38.78	-74.4	1.23	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	4	
284	36.36	-77.34	8.34	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	2	
285	27.72	-81.09	19.68	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	2	
286	30.47	-86.9	-1.2	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	1	
287	31.48	-76.29	28.44	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	3	
288	38.53	-70.94	22.25	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	4	
289	-13.36	-91.38	3.71	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	0	
290	-15.28	-84.83	14.8	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	0	
291	-16.7	-82.05	24.27	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
292	-17.57	-78.91	33.1	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 7	0	
293	-22.3	-83.31	21.9	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	1	
294	40.6	-61.0	38.48	Right Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	1	
295	38.14	-68.02	31.9	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 39	3	
296	42.92	-63.72	28.14	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	2	
297	30.38	-69.05	38.72	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	1	
298	45.65	-57.91	23.28	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	0	
299	34.1	-64.62	41.06	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	0	
300	48.4	-53.05	28.43	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	3	
301	18.58	-81.33	17.24	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	1	
302	15.74	-83.45	22.36	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	1	
303	20.33	-81.68	29.06	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	1	
304	24.36	-74.75	35.87	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	1	
305	20.6	-87.3	7.19	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	1	
306	22.33	-81.28	20.21	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	3	
307	-8.49	12.29	-6.13	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
308	8.53	12.94	-5.67	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
309	-17.73	-2.85	2.77	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Lateral Globus Pallidus	0	
310	18.35	-2.76	3.35	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Lateral Globus Pallidus	0	
311	-19.26	-1.28	-19.89	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	1	
312	-18.82	-5.41	-23.51	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 28	0	
313	-19.69	-31.15	-10.37	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	1	
314	-25.17	-26.96	-14.82	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	1	
315	26.57	-34.1	-8.17	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	2	
316	18.24	-26.69	-11.65	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 35	2	
317	22.86	1.89	-23.63	Right Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 28	2	
318	17.86	-2.1	-17.18	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 34	0	
319	26.72	-17.4	-19.86	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	3	
320	-11.99	-26.76	69.68	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	3	
321	-8.58	-25.95	58.32	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	1	
322	-6.99	-33.03	59.38	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	2	
323	-10.54	-37.79	69.43	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	3	
324	-8.01	-39.83	57.19	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	1	
325	5.92	-38.44	53.04	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	1	
326	4.31	-32.85	68.45	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 6	1	
327	3.3	-43.75	64.82	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	1	
328	-46.96	-40.8	41.16	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
329	-36.12	-58.05	45.56	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 7	1	
330	-48.57	-30.93	38.33	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
331	-39.77	-47.59	46.07	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	1	
332	-42.91	-53.4	40.57	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
333	-43.92	-51.82	34.24	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	4	
334	-47.45	-42.8	35.12	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	3	
335	-30.01	-65.92	36.54	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	2	
336	-9.13	-80.95	0.78	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	2	
337	-5.05	-83.41	-11.18	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
338	-3.12	-82.59	-3.69	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	0	
339	-8.09	-69.02	10.3	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 30	1	
340	-11.49	-57.94	6.48	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
341	-6.1	-92.11	-11.71	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
342	-8.48	-95.15	-6.12	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	2	
343	-0.37	-83.37	4.92	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
344	-12.3	-74.72	7.17	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	2	
345	44.15	-44.35	43.58	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
346	40.65	-43.31	48.51	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
347	35.23	-56.12	46.24	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 7	1	
348	42.26	-54.01	41.79	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
349	45.54	-53.27	36.54	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
350	-27.47	-58.16	57.04	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	2	
351	-24.78	-66.27	48.72	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
352	-19.7	-62.43	53.67	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
353	-17.09	-73.44	43.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
354	-21.39	-72.84	37.92	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
355	-30.56	-51.07	56.35	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
356	-19.46	-53.43	61.4	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
357	-30.2	-63.78	45.7	Left Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	1	
358	25.01	-70.85	45.07	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
359	15.37	-74.5	42.98	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
360	20.09	-61.8	59.27	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
361	37.14	-50.6	53.79	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
362	12.32	-63.22	59.78	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	2	
363	15.4	-72.09	49.99	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
364	17.43	-53.97	61.36	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
365	29.77	-58.0	55.13	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	2	
366	26.23	-65.67	52.41	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	1	
367	-20.95	-44.66	66.8	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	0	
368	-53.46	-6.72	19.02	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	2	
369	-42.58	-36.43	46.64	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
370	-40.6	-32.97	52.16	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	1	
371	-47.79	-23.09	41.31	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	2	
372	-43.97	-17.64	43.84	Left Cerebrum	Frontal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 4	0	
373	-41.05	-26.43	48.22	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	1	
374	-48.29	-13.76	35.4	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
375	-57.46	-19.46	19.96	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	2	
376	-35.45	-42.23	52.72	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
377	-54.37	-12.07	27.27	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
378	-53.38	-20.96	30.45	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	0	
379	-21.45	-38.83	61.65	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	0	
380	-53.21	-15.23	20.23	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	3	
381	-29.53	-36.5	58.94	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	0	
382	-26.49	-44.89	57.45	Left Cerebrum	Parietal Lobe	Sub-Gyral	Gray Matter	Brodmann area 40	0	
383	17.84	-46.56	65.31	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	3	
384	50.67	-21.6	38.05	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	2	
385	58.94	-14.44	21.91	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	3	
386	49.41	-18.95	33.08	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	4	
387	25.93	-39.02	60.98	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	0	
388	40.73	-32.0	50.19	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	3	
389	10.99	-50.86	64.47	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 7	1	
390	20.08	-39.49	57.51	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 5	1	
391	10.57	-42.14	66.71	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	2	
392	25.34	-48.65	57.38	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	1	
393	57.38	-7.05	23.97	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
394	47.67	-12.68	34.14	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
395	46.26	-25.87	46.2	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	0	
396	32.2	-41.23	56.97	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	2	
397	34.91	-37.39	51.21	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
398	-47.0	-3.96	39.31	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
399	-41.14	0.45	41.82	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	2	
400	-49.3	-6.33	31.67	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
401	-45.98	2.25	32.82	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
402	-33.49	-9.13	51.36	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
403	-21.37	-21.35	66.33	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	2	
404	-40.09	-12.67	45.65	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	2	
405	-34.54	-25.07	54.74	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	0	
406	-50.39	-1.07	24.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
407	-35.82	-18.96	51.87	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	0	
408	-39.75	-5.67	46.84	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
409	-30.94	-30.51	58.27	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
410	-24.5	-27.86	64.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	1	
411	-29.91	-15.92	56.88	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	2	
412	53.81	0.16	25.03	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
413	32.38	-17.56	55.3	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
414	20.46	-26.17	71.82	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	4	
415	45.89	-12.53	40.85	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
416	32.22	-28.81	55.93	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	0	
417	44.86	1.38	41.46	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
418	22.54	-31.62	62.34	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	1	
419	43.71	-5.87	44.51	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
420	35.48	-17.44	52.73	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	0	
421	40.44	-18.19	46.59	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	2	
422	47.35	-0.67	33.48	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
423	15.44	-33.07	67.45	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	0	
424	26.11	-23.22	61.94	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
425	14.27	-26.97	66.16	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
426	-6.01	-54.13	52.83	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
427	-11.83	-58.75	61.74	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	2	
428	-7.06	-58.23	26.96	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
429	-7.95	-63.14	23.26	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	1	
430	-7.21	-54.65	58.08	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	2	
431	-11.22	-71.54	45.82	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	3	
432	-11.21	-50.36	9.52	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	0	
433	-5.25	-69.48	34.91	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
434	-8.42	-75.58	36.84	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	1	
435	-5.82	-63.77	43.47	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
436	-8.06	-48.9	48.14	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
